idDrink,strDrink,strAlcoholic,strCategory,strGlass,strIBA,strDrinkThumb,strInstructions,ingredients
15521,Swedish Coffee,alc,Coffee / Tea,Coffee Mug,,http://www.thecocktaildb.com/images/media/drink/ywtrvt1441246783.jpg,Pour the coffee in an ordinary coffee cup. Add the aquavit. Add sugar by taste. Stir and have a nice evening (morning),"1 cup Coffee, 4 cl  Aquavit, By taste  Sugar"
12724,Sweet Bananas,nalc,Milk / Float / Shake,Highball Glass,,http://www.thecocktaildb.com/images/media/drink/sxpcj71487603345.jpg,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","2 cups  Milk, 1  Banana, 1 tblsp  Honey"
13024,Sweet Sangria,alc,Punch / Party Drink,Pitcher,,http://www.thecocktaildb.com/images/media/drink/uqqvsp1468924228.jpg,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw.","2 bottles  Red wine, 1 cup  Sugar, 2 cups hot  Water, 1 cup  Apple, wedges
 Orange, wedges
 Lime, Lemon, Fresca"
16990,Sweet Tooth,alc,Milk / Float / Shake,Highball Glass,,http://www.thecocktaildb.com/images/media/drink/j6rq6h1503563821.jpg,"Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like.","2 shots  Godiva liqueur, Milk"
14860,Talos Coffee,alc,Coffee / Tea,Brandy snifter,,http://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg,Add your GM and then add your coffee.,"3 parts  Grand Marnier, 1 part  Coffee"
15515,Tennesee Mud,alc,Coffee / Tea,Coffee Mug,,http://www.thecocktaildb.com/images/media/drink/txruqv1441245770.jpg,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.","8 oz  Coffee, 4 oz  Jack Daniels, 4 oz  Amaretto, Whipped cream"
12362,Tequila Fizz,alc,Ordinary Drink,Collins glass,,http://www.thecocktaildb.com/images/media/drink/2bcase1504889637.jpg,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.","2 oz  Tequila, 1 tblsp  Lemon juice, 3/4 oz  Grenadine, 1  Egg white, Ginger ale"
12370,Tequila Sour,alc,Ordinary Drink,Whiskey sour glass,,http://www.thecocktaildb.com/images/media/drink/ek0mlq1504820601.jpg,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.","2 oz  Tequila, Juice of 1/2  Lemon, 1 tsp  Powdered sugar, 1/2 slice  Lemon, 1  Cherry"
13621,Tequila Sunrise,alc,Cocktail,Highball glass,Contemporary Classics,http://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.","2 measures  Tequila, Orange juice, Grenadine"
14602,Tequila Surprise,alc,Shot,Shot glass,,http://www.thecocktaildb.com/images/media/drink/8189p51504735581.jpg,Fill shot glass with Tequila. Add drops of Tobasco sauce.,"full glass  Tequila, About 8 drops  Tabasco sauce"
15178,Texas Rattlesnake,alc,Shot,Highball glass,,http://www.thecocktaildb.com/images/media/drink/rtohqp1504889750.jpg,"Mix all ingredients and Shake well. Sweet at first, with a BITE at the end...","1 part  Yukon Jack, 1/2 part  Cherry brandy, 1 part  Southern Comfort, 1 splash  Sweet and sour"
15639,Texas Sling,alc,Milk / Float / Shake,Wine Glass,,http://www.thecocktaildb.com/images/media/drink/ypl13s1504890158.jpg,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.","1/2 oz  Kahlua, 1/2 oz  Irish cream, 1/2 oz  Amaretto, 1/2 oz Bacardi  151 proof rum, 1 oz  Cream"
12782,Thai Coffee,nalc,Coffee / Tea,Highball glass,,http://www.thecocktaildb.com/images/media/drink/wquwxs1441247025.jpg,"Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away.","6 tblsp ground Coffee, 1/4 tsp  Coriander, 4-5 whole green  Cardamom, Sugar, Whipping cream, Ice"
